task_id,workspace_id,event_id,title,description,department,assigned_user,due_date,priority,status,created_at,_id
TSK-673A295C,WS-56C389F5,EVT-TEST-999,Venue Setup & Stage Decoration,"Arrange stage, seating, traditional decor, and lighting.",Operations,Unassigned,2026-08-15,High,Completed,2026-07-23T14:02:39.964532,6a61d1a7d3050e2967bd1eed
TSK-7A18CEE3,WS-56C389F5,EVT-TEST-999,Artist & Performer Logistics,"Confirm green room, hospitality, and performance sequence.",Logistics,Unassigned,2026-08-15,High,Completed,2026-07-23T14:02:40.096140,6a61d1a8d3050e2967bd1ef0
TSK-2936774C,WS-56C389F5,EVT-TEST-999,AV Sound & Lighting Test,"Sound check mics, speakers, and stage lights with vendor.",Technical,Unassigned,2026-08-15,Medium,Completed,2026-07-23T14:02:40.196008,6a61d1a8d3050e2967bd1ef3
TSK-629F8C25,WS-56C389F5,EVT-TEST-999,Refreshments & Catering Ordering,Finalize menu and confirm delivery time with food vendor.,Procurement,test_profile,2026-08-15,Medium,Pending,2026-07-23T14:02:40.298028,6a61d1a8d3050e2967bd1ef6
TSK-154C27DC,WS-56C389F5,EVT-TEST-999,Post-Event Cleanup & Return Inventory,Clear venue space and return borrowed equipment.,Operations,Unassigned,2026-08-15,Low,Pending,2026-07-23T14:02:40.404335,6a61d1a8d3050e2967bd1ef9
TSK-124D98AA,WS-F3C22808,EVT-C86DC3,Event Space Reservation & Layout Setup,Reserve common area and set up seating layout.,Operations,Unassigned,2026-08-01,High,Pending,2026-07-23T15:15:17.865753,6a61e2ad728899dcbf2d6091
TSK-3E67964D,WS-F3C22808,EVT-C86DC3,Procurement & Vendor Confirmation,Confirm required materials and vendor delivery dates.,Procurement,Unassigned,2026-08-01,Medium,Pending,2026-07-23T15:15:18.060808,6a61e2ae728899dcbf2d6094
TSK-35C2079F,WS-F3C22808,EVT-C86DC3,Resident Announcement & Reminder,Send event invitation and schedule reminder broadcast.,Marketing,Unassigned,2026-08-01,Medium,Pending,2026-07-23T15:15:18.230808,6a61e2ae728899dcbf2d6097
TSK-A45FF3C8,WS-F3C22808,EVT-C86DC3,Post-Event Wrap-up & Feedback Collection,Clean up venue and log event metrics.,Operations,Unassigned,2026-08-01,Low,Pending,2026-07-23T15:15:18.419155,6a61e2ae728899dcbf2d609a
TSK-395E6A2B,WS-7ACEF870,EVT-9F328B,Procurement & Vendor Confirmation,Confirm required materials and vendor delivery dates.,Procurement,test_profile,2026-07-31,Medium,Completed,2026-07-23T16:28:49.552163,6a61f3e9728899dcbf2d60a5
